Name,Summary,Images,Blue point,Green Point,Purple Point,Keys,Calories,Carbs,Proteins,Fats
Bisteces a la Mexicana (Mexican Style Beef Stew),"Bisteces a la Mexicana is a flavorful Mexican-style beef stew that cooks on low heat with tomatoes, jalapenos, onion, herbs and spices. Bisteces a la Mexicana (Mexican Beef Stew)...","https://www.skinnytaste.com/wp-content/uploads/2021/05/Bistecas-a-la-Mexicana-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Bistecas-a-la-Mexicana-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Bistecas-a-la-Mexicana-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Bistecas-a-la-Mexicana-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Bistecas-a-la-Mexicana-8.jpg",3,3,3,"Dairy Free,Gluten Free",227.0,5.5,24.0,11.5
Cheeseburger Crunch Wrap,"This Cheeseburger Crunch Wrap is so easy, stuffed with classic burger ingredients and wrapped in a crunchy tortilla. Use any burger meat you wish here! Cheeseburger Crunch Wrap Recently...","https://www.skinnytaste.com/wp-content/uploads/2021/05/Cheeseburger-Crunch-Wrap-11-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Cheeseburger-Crunch-Wrap-11-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Cheeseburger-Crunch-Wrap-11-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Cheeseburger-Crunch-Wrap-11-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Cheeseburger-Crunch-Wrap-11.jpg",11,11,11,"Air Fryer,Kid Friendly,Low Carb,Under 30 Minutes",354.0,22.0,33.0,18.5
Grilled Vegetable Orzo Pasta Salad,"Grilled vegetables from the farmers market shine in this vegetarian orzo pasta salad, perfect as a side dish or meatless main. Grilled Vegetable Orzo Pasta Salad This delicious pasta...","https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8.jpg",7,7,7,"Dairy Free,Kid Friendly,Vegetarian Meals",267.0,39.5,6.5,9.0
Salmon Fried Rice,Salmon Fried Rice for one is made with with frozen brown rice and riced cauliflower for a quick meal you can whip up in 20 minutes for lunch or...,"https://www.skinnytaste.com/wp-content/uploads/2020/12/Salmon-Fried-Rice-3-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/12/Salmon-Fried-Rice-3-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/12/Salmon-Fried-Rice-3-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/12/Salmon-Fried-Rice-3-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2020/12/Salmon-Fried-Rice-3.jpg",4,9,1,"Dairy Free,Gluten Free,Under 30 Minutes",408.0,28.0,34.0,17.5
Pico de Gallo Salsa,"Pico de Gallo Salsa is a fresh and healthy salsa recipe made with fresh tomatoes, onions, cilantro and lots of lime. Goes great with chips, grilled fish, chicken, burrito...","https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9.jpg",0,0,0,"Dairy Free,Gluten Free,Paleo,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",36.5,8.0,1.0,0.5
Quick and Delicioso Cuban Style Black Beans,"These are my go-to Cuban Style Black Beans when I want a quick side dish from canned beans to go with rice and steak, Pernil, pollo, etc. Cuban Style...","https://www.skinnytaste.com/wp-content/uploads/2011/01/Cuban-Black-Beans-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/01/Cuban-Black-Beans-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/01/Cuban-Black-Beans-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/01/Cuban-Black-Beans-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/01/Cuban-Black-Beans-9.jpg",1,3,1,"Under 30 Minutes,Vegetarian Meals",114.0,20.0,7.0,3.0
Strawberries and Yogurt Whipped Cream,"This lighter Strawberries and Cream folds Greek yogurt right into the whipped cream for a healthier (and yummier) spin on the classic! Strawberries and Cream On weekends, I occasionally...","https://www.skinnytaste.com/wp-content/uploads/2021/04/Strawberries-and-Yogurt-Whipped-Cream-10-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Strawberries-and-Yogurt-Whipped-Cream-10-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Strawberries-and-Yogurt-Whipped-Cream-10-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Strawberries-and-Yogurt-Whipped-Cream-10-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Strawberries-and-Yogurt-Whipped-Cream-10.jpg",5,5,5,"Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",125.0,13.0,2.5,7.5
Low-Yolk Egg Salad,"This easy, low-yolk egg salad is made with a mix of whole eggs and egg whites with a little mayo and scallions. Serve this on your favorite whole grain...","https://www.skinnytaste.com/wp-content/uploads/2011/04/Half-Yolk-Egg-Salad-3-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/04/Half-Yolk-Egg-Salad-3-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/04/Half-Yolk-Egg-Salad-3-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/04/Half-Yolk-Egg-Salad-3-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/04/Half-Yolk-Egg-Salad-3.jpg",1,3,1,"Dairy Free,Gluten Free,Keto Recipes,Low Carb,Meal Prep Recipes,Paleo,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",122.0,2.0,9.5,7.6
Air Fryer Bacon Wrapped Pork Tenderloin,This quick and simple Bacon-Wrapped Pork Tenderloin cooked in the air fryer is perfect for weeknight dinners and packed with so much flavor! Air Fryer Bacon-Wrapped Pork Tenderloin Here’s...,"https://www.skinnytaste.com/wp-content/uploads/2021/04/Bacon-Wrapped-Pork-Loin-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Bacon-Wrapped-Pork-Loin-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Bacon-Wrapped-Pork-Loin-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Bacon-Wrapped-Pork-Loin-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Bacon-Wrapped-Pork-Loin-7.jpg",3,3,3,"Air Fryer,Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Under 30 Minutes",153.0,0.5,26.5,4.0
Spanish Tortilla with Pimenton Aioli,"Spanish Tortilla with Pimenton Aioli is a layered potato and egg open-faced omelet. Serve it as an appetizer, snack, or main for breakfast/brunch or a light dinner. Spanish Tortilla...","https://www.skinnytaste.com/wp-content/uploads/2021/03/Spanish-Tortilla_new-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spanish-Tortilla_new-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spanish-Tortilla_new-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spanish-Tortilla_new-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spanish-Tortilla_new-8.jpg",5,7,3,"Dairy Free,Gluten Free,Kid Friendly,Meal Prep Recipes,Vegetarian Meals",247.0,21.5,9.0,14.5
Turkey Picadillo,"Turkey Picadillo is a lighter alternative to my favorite Cuban beef picadillo recipe only much leaner, and made with ground turkey instead. Turkey Picadillo Growing up in a Latin...","https://www.skinnytaste.com/wp-content/uploads/2010/02/Turkey-Picadillo-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/02/Turkey-Picadillo-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/02/Turkey-Picadillo-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/02/Turkey-Picadillo-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/02/Turkey-Picadillo-8.jpg",5,5,5,"Dairy Free,Freezer Meals,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Meal Prep Recipes,Under 30 Minutes,Whole 30 Recipes",238.0,7.5,29.0,11.0
"Farro Salad with Feta, Cucumbers and Sun Dried Tomatoes","This farro salad is made with Mediterranean ingredients – cucumbers, tomatoes, lemon juice, feta, and mint – delicious as a side dish or even for lunch! Mediterranean Farro Salad...","https://www.skinnytaste.com/wp-content/uploads/2012/05/Farro-with-Feta-Cucumbers-and-Sun-Dried-Tomatoes-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/Farro-with-Feta-Cucumbers-and-Sun-Dried-Tomatoes-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/Farro-with-Feta-Cucumbers-and-Sun-Dried-Tomatoes-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/Farro-with-Feta-Cucumbers-and-Sun-Dried-Tomatoes-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/05/Farro-with-Feta-Cucumbers-and-Sun-Dried-Tomatoes-6.jpg",6,6,2,"Under 30 Minutes,Vegetarian Meals",241.0,39.0,9.0,6.5
Easy (10-minute) Waffled Salmon Cakes,"These easy Salmon Cakes, made with pantry and refrigerator staples are cooked in a waffle maker – only 10 minutes from start to finish! Easy (10-minute) Waffled Salmon Cakes...","https://www.skinnytaste.com/wp-content/uploads/2021/04/Waffled-Salmon-Cakes-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Waffled-Salmon-Cakes-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Waffled-Salmon-Cakes-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Waffled-Salmon-Cakes-5-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Waffled-Salmon-Cakes-5.jpg",2,6,2,"Dairy Free,Gluten Free,Low Carb,Meal Prep Recipes,Under 30 Minutes",169.0,5.5,22.0,6.5
Mother’s Day Gift Ideas,"Mother’s Day is just around the corner, so I thought I’d share some (35) of my favorite Mother’s Day gift ideas with all price ranges in mind. So whether...","https://www.skinnytaste.com/wp-content/uploads/2021/04/IMG_3527-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/IMG_3527-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/IMG_3527-150x225.jpg",,,,,,,,
Coconut-Poached Chicken with Bok Choy and Mushrooms,"Coconut-Poached Chicken with Bok Choy and Mushrooms served with a cucumber sesame salad is SO simple, fast and flavorful. Coconut-Poached Chicken with Bok Choy and Mushrooms This one-pan cooking...","https://www.skinnytaste.com/wp-content/uploads/2021/04/Coconut-Simmered-Chicken-with-Bok-Choy-and-Mushrooms-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Coconut-Simmered-Chicken-with-Bok-Choy-and-Mushrooms-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Coconut-Simmered-Chicken-with-Bok-Choy-and-Mushrooms-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Coconut-Simmered-Chicken-with-Bok-Choy-and-Mushrooms-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Coconut-Simmered-Chicken-with-Bok-Choy-and-Mushrooms-8.jpg",3,6,3,"Dairy Free,Gluten Free,Keto Recipes,Under 30 Minutes,Whole 30 Recipes",321.0,12.0,42.0,12.0
Italian Turkey Meatball Sheet Pan Dinner,Italian Turkey Meatball Sheet Pan Dinner made with the most tender turkey meatballs and roasted vegetables for an easy one-pot meal. Italian Turkey Meatball Sheet Pan Dinner These turkey...,"https://www.skinnytaste.com/wp-content/uploads/2021/04/Italian-Turkey-Meatball-Sheet-Pan-Dinner-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Italian-Turkey-Meatball-Sheet-Pan-Dinner-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Italian-Turkey-Meatball-Sheet-Pan-Dinner-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Italian-Turkey-Meatball-Sheet-Pan-Dinner-5-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Italian-Turkey-Meatball-Sheet-Pan-Dinner-5.jpg",5,5,5,"Dairy Free,Gluten Free,Kid Friendly,Meal Prep Recipes",263.0,14.0,26.5,11.5
Ahi Tuna Poke Stacks,"Ahi Tuna Poke Rice Stacks with layers of chunks of sushi-grade tuna, avocado, cucumbers, spicy mayo, and rice layered in fun easy stacks. Ahi Tuna Poke Stacks I’ve been...","https://www.skinnytaste.com/wp-content/uploads/2021/04/Ahi-Tuna-Poke-Rice-Stacks-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Ahi-Tuna-Poke-Rice-Stacks-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Ahi-Tuna-Poke-Rice-Stacks-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Ahi-Tuna-Poke-Rice-Stacks-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/04/Ahi-Tuna-Poke-Rice-Stacks-6.jpg",10,12,7,"Dairy Free,Gluten Free,Under 30 Minutes",561.0,37.5,48.5,24.5
Navel Orange Salad with Avocado,This California Navel Orange Salad with Avocados and a Citrus Vinaigrette is a simple yet delicious salad bursting with orange flavor. Navel Orange Salad with Avocado This salad made...,"https://www.skinnytaste.com/wp-content/uploads/2021/03/Naval-Orange-Salad-with-Avocado-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Naval-Orange-Salad-with-Avocado-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Naval-Orange-Salad-with-Avocado-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Naval-Orange-Salad-with-Avocado-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Naval-Orange-Salad-with-Avocado-7.jpg",7,7,7,"Dairy Free,Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",278.5,24.0,3.0,20.0
Asparagus and Feta Tartlet with Phyllo Crust,"These Asparagus and Feta Tartlets with Phyllo Crust are so easy to make – the perfect Spring appetizer, brunch, or lunch dish! Asparagus and Feta Tartlet with Phyllo Crust...","https://www.skinnytaste.com/wp-content/uploads/2021/03/Asparagus-Tart-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Asparagus-Tart-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Asparagus-Tart-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Asparagus-Tart-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Asparagus-Tart-6.jpg",2,3,2,Vegetarian Meals,91.0,7.5,4.5,5.0
Spring Pea Soup with Fresh Herbs,"This Spring Pea Soup with Fresh Herbs finished with a lemony yogurt topping is pretty effortless, but it tastes like a million bucks! Spring Pea Soup with Fresh Herbs...","https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Pea-and-Fresh-Herbs-Soup-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Pea-and-Fresh-Herbs-Soup-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Pea-and-Fresh-Herbs-Soup-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Pea-and-Fresh-Herbs-Soup-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Pea-and-Fresh-Herbs-Soup-7.jpg",2,5,2,"Gluten Free,Under 30 Minutes,Vegetarian Meals",160.0,20.5,6.5,6.0
Protein PB & J Smoothie Bowl,"This Protein PB & J Smoothie Bowl tastes like peanut butter and jelly in a bowl. Packed with protein, it’s the perfect start to your day! Protein PB &...","https://www.skinnytaste.com/wp-content/uploads/2021/03/PB-_-J-Smoothie-Bowl-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/PB-_-J-Smoothie-Bowl-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/PB-_-J-Smoothie-Bowl-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/PB-_-J-Smoothie-Bowl-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/PB-_-J-Smoothie-Bowl-7.jpg",5,5,5,"Dairy Free,Freezer Meals,Gluten Free,Kid Friendly,Meal Prep Recipes,Under 30 Minutes,Vegetarian Meals",268.0,30.5,14.5,11.0
Layered Potato Cups with Spring Herbs and Leeks,"These Layered Potato Cups with Spring Herbs and Leeks are made in a muffin tin, an impressive side dish for special occasions and great for portion control. Layered Potato...","https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Herbs-Leeks-Goat-Cheese-and-Potato-Cups-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Herbs-Leeks-Goat-Cheese-and-Potato-Cups-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Herbs-Leeks-Goat-Cheese-and-Potato-Cups-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Herbs-Leeks-Goat-Cheese-and-Potato-Cups-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spring-Herbs-Leeks-Goat-Cheese-and-Potato-Cups-6.jpg",5,5,2,"Gluten Free,Kid Friendly,Vegetarian Meals",171.0,31.0,6.0,3.5
Spicy Crunchy Tuna Tartare,"Spicy Crunchy Tuna Tartare is my favorite restaurant appetizer that’s so easy to make yourself and will impress your guests! Made with tuna, avocado and some panko for crunch....","https://www.skinnytaste.com/wp-content/uploads/2010/08/Spicy-Crunchy-Tuna-Tartare-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/08/Spicy-Crunchy-Tuna-Tartare-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/08/Spicy-Crunchy-Tuna-Tartare-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/08/Spicy-Crunchy-Tuna-Tartare-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/08/Spicy-Crunchy-Tuna-Tartare-6.jpg",3,4,3,"Dairy Free,Gluten Free,Low Carb,Under 30 Minutes",197.6,7.9,18.6,10.3
One-Pot Chicken and Artichoke Cavatappi,"This One-Pot Chicken and Artichoke Cavatappi with kale and sun-dried tomatoes, flavored with lemon juice, garlic, and oregano, is bursting with flavor. One-Pot Chicken and Artichoke Cavatappi The artichokes...","https://www.skinnytaste.com/wp-content/uploads/2021/03/One-Pot-Chicken-and-Artichoke-Cavatappi-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/One-Pot-Chicken-and-Artichoke-Cavatappi-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/One-Pot-Chicken-and-Artichoke-Cavatappi-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/One-Pot-Chicken-and-Artichoke-Cavatappi-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/One-Pot-Chicken-and-Artichoke-Cavatappi-8.jpg",6,8,6,Under 30 Minutes,428.0,56.5,39.0,5.0
Spanakopita Baked Eggs,"These Baked Eggs are inspired by the Greek spinach pie Spanakopita using the same flavorful spinach filling, only baked with eggs. Spanakopita Baked Eggs This Spanakopita Baked Egg dish...","https://www.skinnytaste.com/wp-content/uploads/2021/03/SPANAKOPITA-26-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/SPANAKOPITA-26-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/SPANAKOPITA-26-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/SPANAKOPITA-26-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/SPANAKOPITA-26.jpg",3,5,3,"Gluten Free,Keto Recipes,Low Carb,Vegetarian Meals,Whole 30 Recipes",198.0,13.5,15.0,11.0
Cacio e Pepe Frittata with Cauliflower and Lemony Yogurt,"This Cacio e Pepe Frittata is a fun twist on the Italian pasta dish. Protein-packed with eggs, Parmesan cheese, roasted cauliflower and Greek yogurt to make it extra creamy...","https://www.skinnytaste.com/wp-content/uploads/2021/03/Cacio-e-Pepe-Frittata-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Cacio-e-Pepe-Frittata-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Cacio-e-Pepe-Frittata-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Cacio-e-Pepe-Frittata-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Cacio-e-Pepe-Frittata-9.jpg",4,8,4,"Gluten Free,Low Carb,Meal Prep Recipes,Vegetarian Meals",277.0,5.5,20.0,18.5
Hearts of Palm Noodle Peanut Stir Fry,"This easy, vegetarian Hearts of Palm Noodle Peanut Stir Fry for one is made with a spicy peanut sauce, spinach, and egg – under 15 minutes and so good!...","https://www.skinnytaste.com/wp-content/uploads/2021/03/Hearts-of-Palm-Noodle-Peanut-Stir-Fry-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Hearts-of-Palm-Noodle-Peanut-Stir-Fry-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Hearts-of-Palm-Noodle-Peanut-Stir-Fry-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Hearts-of-Palm-Noodle-Peanut-Stir-Fry-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Hearts-of-Palm-Noodle-Peanut-Stir-Fry-9.jpg",7,9,7,"Dairy Free,Gluten Free,Paleo,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",414.0,26.5,17.0,26.5
Flaugnarde of Mixed Berries (Clafoutis),"This warm berry custard called a Flaugnarde, similar to clafoutis, may sound fancy, but you won’t believe how easy it is to whip up! Flaugnarde of Mixed Berries (Clafoutis)...","https://www.skinnytaste.com/wp-content/uploads/2011/08/Flaugnarde-of-Mixed-Berries-Clafoutis-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/08/Flaugnarde-of-Mixed-Berries-Clafoutis-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/08/Flaugnarde-of-Mixed-Berries-Clafoutis-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/08/Flaugnarde-of-Mixed-Berries-Clafoutis-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/08/Flaugnarde-of-Mixed-Berries-Clafoutis-6.jpg",6,7,6,"Kid Friendly,Vegetarian Meals",167.5,33.0,4.4,2.3
High Protein Oat Waffles,"These high protein oat waffles are made with cottage cheese, oat flour and eggs. So good you’ll never make them any other way! High Protein Oat Waffles I’m obsessed...","https://www.skinnytaste.com/wp-content/uploads/2021/03/High-Protein-Waffles-10-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/High-Protein-Waffles-10-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/High-Protein-Waffles-10-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/High-Protein-Waffles-10-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/High-Protein-Waffles-10.jpg",3,4,1,"Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",121.0,12.0,8.5,4.5
Pork Chops and Pears with Spicy Mustard Greens,Juicy pork chops are topped with pears in an orange-sage sauce and served with spicy mustard greens for a healthy one-pan dinner. Pork Chops and Pears with Mustard Greens...,"https://www.skinnytaste.com/wp-content/uploads/2021/03/Pork-Chops-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Pork-Chops-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Pork-Chops-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Pork-Chops-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Pork-Chops-7.jpg",7,7,7,"Dairy Free,Gluten Free,Under 30 Minutes",372.0,12.5,39.0,17.5
Air Fryer Lobster Jalapeño Empanadas,These spicy Air Fryer Lobster Jalapeño Empanadas are crispy and golden perfection without all the oil used in deep frying. Air Fryer Lobster Jalapeño Empanadas Empanadas bring me back...,"https://www.skinnytaste.com/wp-content/uploads/2021/03/Air-Fryer-Lobster-Jalapeño-Empanadas-11-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Air-Fryer-Lobster-Jalapeño-Empanadas-11-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Air-Fryer-Lobster-Jalapeño-Empanadas-11-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Air-Fryer-Lobster-Jalapeño-Empanadas-11-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Air-Fryer-Lobster-Jalapeño-Empanadas-11.jpg",5,5,5,"Air Fryer,Dairy Free,Kid Friendly,Under 30 Minutes",165.0,21.5,9.5,5.0
“Fried” Oreos,"These quick and easy, “Fried” Oreos made with protein pancake batter and Oreo Thins are the perfect light treat when you’re craving something sweet! “Fried” Oreos I am not...","https://www.skinnytaste.com/wp-content/uploads/2021/03/Fried-Oreos-1-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Fried-Oreos-1-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Fried-Oreos-1-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Fried-Oreos-1-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/03/Fried-Oreos-1.jpg",4,4,4,"Kid Friendly,Under 30 Minutes",107.0,16.0,3.0,3.5
"Salmon Salad with Beets, Arugula, Pistachios and Pomegranates","This beautiful heart-healthy Salmon Salad with Beets, Arugula, Pistachios and Pomegranates makes salmon the focal point in this colorful salad. Salmon Salad with Beets This main dish salad is...","https://www.skinnytaste.com/wp-content/uploads/2021/02/Salmon-Beet-and-Arugula-Salad-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/02/Salmon-Beet-and-Arugula-Salad-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/02/Salmon-Beet-and-Arugula-Salad-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/02/Salmon-Beet-and-Arugula-Salad-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/02/Salmon-Beet-and-Arugula-Salad-7.jpg",8,11,8,Under 30 Minutes,437.0,18.0,33.5,26.5
